Symbol,Zone_Name,Price,Strength,Touches,LastTouch,AvgVolume,Type,Date_Created
NIFTY,SWING_H_5,26104.2,0.39,14,2026-01-08,287978,Swing_High,2026-01-16 11:01:54
NIFTY,SWING_H_4,25669.35,0.35,10,2026-01-14,304830,Swing_High,2026-01-16 11:01:54
NIFTY,ZONE_25693,25693.25,0.32,10,2026-01-16,261150,Support_Resistance,2026-01-16 11:01:54
NIFTY,SWING_H_2,25134.95,0.23,26,2025-10-14,294250,Swing_High,2026-01-16 11:01:54
NIFTY,SWING_L_4,24587.7,0.2,22,2025-09-30,330536,Swing_Low,2026-01-16 11:01:54
NIFTY,SWING_H_3,25448.95,0.11,11,2025-11-07,276490,Swing_High,2026-01-16 11:01:54
NIFTY,SWING_L_3,24405.07,0.09,11,2025-08-29,361700,Swing_Low,2026-01-16 11:01:54
NIFTY,SWING_L_5,25318.45,0.09,8,2025-11-07,301387,Swing_Low,2026-01-16 11:01:54
NIFTY,ZONE_26325,26325.8,0.08,3,2026-01-05,303366,Support_Resistance,2026-01-16 11:01:54
NIFTY,SWING_H_1,23838.45,0.01,2,2025-04-17,421750,Swing_High,2026-01-16 11:01:54
NIFTY,SWING_L_2,21964.6,0.01,2,2025-04-07,450200,Swing_Low,2026-01-16 11:01:54
